model,total,correct,partial,wrong,confidently_wrong,errors,answered,accuracy_pct,hallucination_pct,error_pct,partial_pct,cat_Disease Statistics,cat_Mortality & Life Sta,cat_Healthcare Infrastru,cat_Vaccination & Preven,cat_India vs Global,cat_Hallucination Traps,cat_Ranking Questions,cat_Historical Questions,diff_Easy,diff_Medium,diff_Hard
LLaMA_3_3_70B,230,83,19,66,0,62,168,36.1,39.3,27.0,8.3,8.6,70.6,61.5,100.0,18.2,0.0,0.0,30.8,43.5,27.7,44.6
OpenAI_OSS_120B,230,81,17,68,0,64,166,35.2,41.0,27.8,7.4,12.1,64.7,50.0,91.7,27.3,0.0,0.0,30.8,46.8,28.6,35.7
Allam_2_7B,230,78,7,145,0,0,230,33.9,63.0,0.0,3.0,0.0,66.7,7.7,41.7,54.5,0.0,16.7,65.4,72.6,25.0,8.9
LLaMA_4_Scout_17B,230,73,24,71,0,62,168,31.7,42.3,27.0,10.4,3.4,70.6,38.5,58.3,30.3,0.0,0.0,30.8,50.0,24.1,26.8
LLaMA_3_1_8B,230,54,10,104,0,62,168,23.5,61.9,27.0,4.3,0.0,60.8,26.9,58.3,18.2,0.0,0.0,11.5,43.5,17.9,12.5
Qwen3_32B,230,3,2,150,13,62,168,1.3,97.0,27.0,0.9,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,4.8,0.0,0.0
